"","Var1","Freq"
"1","1903",1
"2","1946",2
"3","1948",2
"4","1951",1
"5","1956",1
"6","1957",1
"7","1964",3
"8","1967",2
"9","1968",1
"10","1969",3
"11","1970",1
"12","1971",3
"13","1972",1
"14","1973",3
"15","1974",1
"16","1975",5
"17","1976",8
"18","1977",16
"19","1978",20
"20","1979",14
"21","1980",22
"22","1981",30
"23","1982",51
"24","1983",29
"25","1984",34
"26","1985",49
"27","1986",56
"28","1987",56
"29","1988",57
"30","1989",74
"31","1990",77
"32","1991",95
"33","1992",94
"34","1993",110
"35","1994",135
"36","1995",170
"37","1996",166
"38","1997",171
"39","1998",215
"40","1999",201
"41","2000",264
"42","2001",283
"43","2002",322
"44","2003",446
"45","2004",427
"46","2005",448
"47","2006",515
"48","2007",552
"49","2008",559
"50","2009",544
"51","2010",630
"52","2011",670
"53","2012",744
"54","2013",832
"55","2014",1013
"56","2015",834
"57","2016",910
"58","2017",979
"59","2018",1046
"60","2019",1073
"61","2020",1229
"62","2021",1173
"63","2022",896
