Var1;Var2;value;Source;Target;weight
AHI;CPAP;0.264101722964141;2;1;0.264101722964141
ESS;CPAP;0.110489063001791;3;1;0.110489063001791
Insomnia;ISI;0.340465039548304;13;26;0.340465039548304
PD;CPAP;-0.077210814921248;5;1;0
RLS;CPAP;-0.0590148908319684;6;1;0
ADHD;CPAP;-0.039537252;7;1;0
SDB;CPAP;0;8;1;0
EDS;CPAP;-0.041341464;9;1;0
PSG;CPAP;0.111318874;10;1;0.111318874
REM;CPAP;-0.058800217;11;1;0
EEG;CPAP;-0.054817539;12;1;0
Insomnia;CPAP;-0.08831025;13;1;0.08831025
QoL;CPAP;0.088858662;14;1;0.088858662
Arousal;CPAP;0;15;1;0
PSQI;CPAP;-0.078129118;16;1;0
MSLT;CPAP;-0.033140812;17;1;0
Narcolepsy;CPAP;-0.093345579;18;1;0.093345579
PVT;CPAP;0;19;1;0
Hypersomnia;CPAP;-0.040400257;20;1;0
Sleep Quality;CPAP;-0.08753493;21;1;0.08753493
RDI;CPAP;0.053554426;22;1;0
BMI;CPAP;0.091147019;23;1;0.091147019
children;CPAP;-0.047561837;24;1;0
MWT;CPAP;0;25;1;0
ISI;CPAP;-0.033105871;26;1;0
TST;CPAP;-0.085131538;27;1;0
BDI;CPAP;0;28;1;0
KSS;CPAP;-0.054909657;29;1;0
Sleep Duration;CPAP;-0.098049767;30;1;0.098049767
ERP;CPAP;0;31;1;0
FOSQ;CPAP;0.116031718;32;1;0.116031718
Neuropsy;CPAP;0;33;1;0
ODI;CPAP;0.067288607;34;1;0
SF36;CPAP;0.053668578;35;1;0
traumatic brain injury;CPAP;0;36;1;0
FSS;CPAP;0;37;1;0
Sleep Behavior;CPAP;-0.044723819;38;1;0
SSS;CPAP;-0.044645958;39;1;0
night time sleep;CPAP;0;40;1;0
MRI;CPAP;-0.02713628;41;1;0
sleep wake disturbances;CPAP;0;42;1;0
parasomnia;CPAP;-0.019294662;43;1;0
lowest oxygen saturation;CPAP;0.018402633;44;1;0
upper airway resistance;CPAP;0;45;1;0
prevalence sleep disorders;CPAP;-0.021703626;46;1;0
Nervous system;CPAP;-0.031491496;47;1;0
stop bang questionnaire;CPAP;0;48;1;0
slow wave sleep;CPAP;-0.025472455;49;1;0
sleep breathing disorders;CPAP;0;50;1;0
upper airway obstruction;CPAP;0.065691708;51;1;0
motor vehicle accidents;CPAP;0;52;1;0
sleep wake cycle;CPAP;-0.032586579;53;1;0
circadian rhythm sleep;CPAP;-0.022957618;54;1;0
Neurophysiology;CPAP;0;55;1;0
patients moderate severe;CPAP;0.138391401;56;1;0.138391401
sleep habits questionnaire;CPAP;-0.031166524;57;1;0
VAS;CPAP;-0.028723897;58;1;0
patients mild moderate;CPAP;0.060510796;59;1;0
activities daily living;CPAP;0;60;1;0
index sleepiness scale;CPAP;-0.018420074;61;1;0
difficulty falling asleep;CPAP;-0.027121661;62;1;0
heart rate variability;CPAP;-0.020480712;63;1;0
sleepiness scale score;CPAP;0.047623928;64;1;0
patients obstructive syndrome;CPAP;0.114644866;65;1;0.114644866
UPDRS;CPAP;-0.029380127;66;1;0
Classification of sleep disorders;CPAP;-0.020544433;67;1;0
sleep disorders common;CPAP;-0.009492565;68;1;0
sleep index sleepiness;CPAP;-0.033169385;69;1;0
sleep time sleep;CPAP;-0.02310147;70;1;0
mild moderate severe;CPAP;0;71;1;0
HAD;CPAP;0.00356676;72;1;0
sleepiness sleepiness scale;CPAP;0;73;1;0
Classification of sleep disorders;CPAP;-0.02036002;67;1;0
sleep disorder characterized;CPAP;0;75;1;0
quality index sleepiness;CPAP;-0.029996244;76;1;0
CPAP;AHI;0.264101723;1;2;0.264101723
ESS;AHI;0.306211628;3;2;0.306211628
ISI;Insomnia;0.34046504;26;13;0.34046504
PD;AHI;-0.091798481;5;2;0.091798481
RLS;AHI;-0.071934172;6;2;0
ADHD;AHI;-0.043821804;7;2;0
SDB;AHI;0.093465946;8;2;0.093465946
EDS;AHI;-0.095648304;9;2;0.095648304
AHI;BMI;0.343374891;2;23;0.343374891
REM;AHI;-0.001568724;11;2;0
EEG;AHI;-0.071837472;12;2;0
Insomnia;AHI;-0.118623075;13;2;0.118623075
QoL;AHI;0;14;2;0
Arousal;AHI;0.091430205;15;2;0.091430205
PSQI;AHI;-0.056253585;16;2;0
MSLT;AHI;-0.04480482;17;2;0
Narcolepsy;AHI;-0.129251084;18;2;0.129251084
PVT;AHI;-0.039131323;19;2;0
Hypersomnia;AHI;-0.069404486;20;2;0
Sleep Quality;AHI;-0.084408938;21;2;0
RDI;AHI;0.042707368;22;2;0
BMI;AHI;0.343374891;23;2;0.343374891
children;AHI;-0.038949285;24;2;0
MWT;AHI;-0.014734707;25;2;0
ISI;AHI;-0.043541364;26;2;0
TST;AHI;-0.039630217;27;2;0
BDI;AHI;0;28;2;0
KSS;AHI;-0.06270455;29;2;0
Sleep Duration;AHI;-0.095365825;30;2;0.095365825
ERP;AHI;-0.030249892;31;2;0
FOSQ;AHI;0.093295318;32;2;0.093295318
Neuropsy;AHI;-0.031070018;33;2;0
ODI;AHI;0.220380309;34;2;0.220380309
SF36;AHI;0.042286831;35;2;0
traumatic brain injury;AHI;-0.032579726;36;2;0
FSS;AHI;0;37;2;0
Sleep Behavior;AHI;-0.060606848;38;2;0
SSS;AHI;-0.042559165;39;2;0
night time sleep;AHI;-0.028784318;40;2;0
MRI;AHI;0;41;2;0
sleep wake disturbances;AHI;-0.027762313;42;2;0
parasomnia;AHI;-0.03903451;43;2;0
lowest oxygen saturation;AHI;0.172415662;44;2;0.172415662
upper airway resistance;AHI;0;45;2;0
prevalence sleep disorders;AHI;-0.022858231;46;2;0
Nervous system;AHI;-0.045202173;47;2;0
stop bang questionnaire;AHI;0.054137136;48;2;0
